index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
229	 |	 -0.0420526	 0	 -0.0243748	 0	 -0.0150722	 
230	 |	 -0.0488569	 0	 -0.0247433	 0	 -0.011503	 
231	 |	 -0.0496256	 0	 -0.0370868	 0	 0	 
232	 |	 -0.0348996	 0	 -0.0250974	 0	 -0.013799	 
233	 |	 -0.0397797	 0	 -0.0253468	 0	 -0.0108129	 
234	 |	 -0.0420772	 0	 -0.03711	 0	 0	 
235	 |	 -0.0296238	 0	 -0.0257254	 0	 -0.012748	 
236	 |	 -0.0341465	 0	 -0.0259825	 0	 -0.0102635	 
237	 |	 -0.0364853	 0	 -0.0376361	 0	 0	 
238	 |	 -0.0225354	 0	 -0.0269906	 0	 -0.0112959	 
239	 |	 -0.0268481	 0	 -0.0271937	 0	 -0.00933134	 
240	 |	 -0.0282971	 0	 -0.0385218	 0	 0	 
241	 |	 -0.0169235	 0	 -0.028745	 0	 -0.00941136	 
242	 |	 -0.0203982	 0	 -0.0289388	 0	 -0.00836318	 
243	 |	 -0.0221779	 0	 -0.0398909	 0	 0	 
244	 |	 -0.0129265	 0	 -0.0310385	 0	 -0.00753475	 
245	 |	 -0.01518	 0	 -0.0313639	 0	 -0.00734289	 
246	 |	 -0.0168313	 0	 -0.0409839	 0	 0	 
247	 |	 -0.0102748	 0	 -0.0331405	 0	 -0.00647088	 
248	 |	 -0.0121685	 0	 -0.0333483	 0	 -0.00649936	 
249	 |	 -0.0137844	 0	 -0.0422762	 0	 0	 
250	 |	 0	 0	 -0.0499398	 0	 0	 
251	 |	 0	 0	 -0.0507353	 0	 0	 
252	 |	 0	 0	 -0.0522909	 0	 0	 
253	 |	 -0.178604	 0	 -0.0214832	 0	 -0.0145946	 
254	 |	 -0.183981	 0	 -0.0219434	 0	 -0.011241	 
255	 |	 -0.182828	 0	 -0.0337464	 0	 0	 
256	 |	 -0.113082	 0	 -0.0218237	 0	 -0.0136183	 
257	 |	 -0.118974	 0	 -0.0222185	 0	 -0.0110046	 
258	 |	 -0.120789	 0	 -0.0338689	 0	 0	 
259	 |	 -0.1062	 0	 -0.0218443	 0	 -0.0139365	 
260	 |	 -0.110803	 0	 -0.022279	 0	 -0.0109193	 
261	 |	 -0.110471	 0	 -0.0338024	 0	 0	 
262	 |	 -0.0658165	 0	 -0.0225893	 0	 -0.0128516	 
263	 |	 -0.0698951	 0	 -0.023014	 0	 -0.0103859	 
264	 |	 -0.0713274	 0	 -0.0342322	 0	 0	 
265	 |	 -0.0495196	 0	 -0.0233402	 0	 -0.012023	 
266	 |	 -0.0538252	 0	 -0.0237557	 0	 -0.00982327	 
267	 |	 -0.0546245	 0	 -0.0344658	 0	 0	 
268	 |	 -0.0406287	 0	 -0.0240427	 0	 -0.0113054	 
269	 |	 -0.0444108	 0	 -0.024459	 0	 -0.00931808	 
270	 |	 -0.0464009	 0	 -0.0349516	 0	 0	 
271	 |	 -0.0342934	 0	 -0.0247205	 0	 -0.0105744	 
272	 |	 -0.0381024	 0	 -0.025059	 0	 -0.00897142	 
