index	 |	 c12	 c13	 c14	 c1t	 c1b	 c23	 c24	 c2t	 c2b	 
89	 |	 -0.00656489	 -0.0372953	 -0.00673786	 0	 -0.0148025	 -0.00540292	 -0.0294843	 0	 -0.00037926	 
90	 |	 -0.00750429	 -0.0382319	 -0.00772555	 0	 -0.0160937	 -0.00789785	 -0.0314124	 0	 -0.00376681	 
91	 |	 -0.00808388	 -0.0241155	 -0.0066066	 0	 -0.0174428	 -0.00538788	 -0.0203904	 0	 -0.00060732	 
92	 |	 -0.00919011	 -0.0250172	 -0.00739912	 0	 -0.0187634	 -0.00760152	 -0.0218958	 0	 -0.00408411	 
93	 |	 -0.00983548	 -0.0120384	 -0.00562513	 0	 -0.0216144	 -0.00487077	 -0.0121279	 0	 -0.00152963	 
94	 |	 -0.0111245	 -0.0130093	 -0.00638213	 0	 -0.0229545	 -0.00679334	 -0.0134477	 0	 -0.00510481	 
95	 |	 -0.0117764	 0	 0	 0	 -0.0331029	 0	 0	 0	 -0.015398	 
96	 |	 -0.0131809	 0	 0	 0	 -0.0346765	 0	 0	 0	 -0.0162819	 
97	 |	 -0.0052095	 -0.197388	 -0.0174102	 0	 -0.0471747	 -0.00039919	 -0.164955	 0	 -0.00032475	 
98	 |	 -0.00675583	 -0.199299	 -0.0234729	 0	 -0.0561429	 -0.00124487	 -0.166953	 0	 -0.00372738	 
99	 |	 -0.00614866	 -0.122615	 -0.0182854	 0	 -0.0477447	 -0.0003879	 -0.101024	 0	 -0.00032395	 
100	 |	 -0.00773982	 -0.126187	 -0.0241351	 0	 -0.056293	 -0.00134571	 -0.102084	 0	 -0.00371886	 
