index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
25	 |	 -0.00726066	 -0.014564	 -0.0133862	 -0.00292217	 -0.00121073	 
26	 |	 -0.00868257	 -0.0170856	 -0.0162964	 -0.00308856	 -0.00045608	 
27	 |	 -0.00927759	 -0.017194	 -0.0167791	 -0.00304218	 0	 
28	 |	 -0.00347207	 -0.0163569	 -0.0151073	 -0.00732802	 -0.00055126	 
29	 |	 -0.00412848	 -0.0189869	 -0.0182021	 -0.00750516	 -0.00020802	 
30	 |	 -0.00429069	 -0.0193433	 -0.0186881	 -0.00756444	 0	 
31	 |	 -0.00161304	 -0.0172478	 -0.0160218	 -0.0133147	 -0.00031408	 
32	 |	 -0.00204413	 -0.0199969	 -0.0191337	 -0.0135516	 -9.12e-05	 
33	 |	 -0.00207889	 -0.0203649	 -0.0196704	 -0.0136249	 0	 
34	 |	 0	 -0.0181797	 -0.0169624	 -0.187165	 0	 
35	 |	 0	 -0.0209104	 -0.0201937	 -0.188319	 0	 
36	 |	 0	 -0.021331	 -0.0206832	 -0.187007	 0	 
37	 |	 -0.189015	 -0.00394232	 -0.0038782	 -2.1e-06	 -0.0021959	 
38	 |	 -0.195	 -0.00583683	 -0.00612439	 -2.932e-05	 -0.00096964	 
39	 |	 -0.196124	 -0.00636031	 -0.00689798	 -3.818e-05	 0	 
40	 |	 -0.114488	 -0.00446808	 -0.00435657	 -3.31e-06	 -0.00209338	 
41	 |	 -0.11986	 -0.00640074	 -0.00664489	 -3.444e-05	 -0.0009506	 
42	 |	 -0.120471	 -0.00676122	 -0.00729113	 -3.827e-05	 0	 
43	 |	 -0.10466	 -0.00461472	 -0.0044778	 -3.5e-06	 -0.00206942	 
44	 |	 -0.110199	 -0.00651335	 -0.00674931	 -3.525e-05	 -0.00091683	 
45	 |	 -0.110881	 -0.00700502	 -0.00748406	 -3.664e-05	 0	 
46	 |	 -0.0580828	 -0.00600522	 -0.00570898	 -8.38e-06	 -0.0017684	 
47	 |	 -0.0628885	 -0.00788402	 -0.00798641	 -4.911e-05	 -0.00085992	 
48	 |	 -0.0629516	 -0.00829846	 -0.00865901	 -5.097e-05	 0	 
49	 |	 -0.0399782	 -0.00737141	 -0.00688559	 -3.292e-05	 -0.00161865	 
50	 |	 -0.0438606	 -0.00934875	 -0.00922767	 -8.03e-05	 -0.00070378	 
51	 |	 -0.0441896	 -0.00974215	 -0.00983745	 -9.547e-05	 0	 
52	 |	 -0.0298194	 -0.00867113	 -0.00804489	 -0.00011003	 -0.00139208	 
53	 |	 -0.0329539	 -0.0107198	 -0.0104416	 -0.00016347	 -0.0006285	 
54	 |	 -0.0333735	 -0.0110896	 -0.0110565	 -0.00016623	 0	 
55	 |	 -0.0231196	 -0.00994721	 -0.00912501	 -0.00027148	 -0.00120008	 
56	 |	 -0.0258248	 -0.0120711	 -0.0116714	 -0.00033764	 -0.00054727	 
57	 |	 -0.0261449	 -0.012323	 -0.0122057	 -0.00034619	 0	 
58	 |	 -0.014842	 -0.012127	 -0.0110347	 -0.00096667	 -0.00085382	 
59	 |	 -0.0166175	 -0.0143797	 -0.0136691	 -0.00105583	 -0.00040712	 
60	 |	 -0.0169269	 -0.0147534	 -0.014276	 -0.00107893	 0	 
61	 |	 -0.00818124	 -0.0144675	 -0.0132379	 -0.00314654	 -0.00054095	 
62	 |	 -0.00932485	 -0.0169155	 -0.0160883	 -0.00326863	 -0.00025339	 
63	 |	 -0.00922925	 -0.0169853	 -0.0166814	 -0.00328093	 0	 
